lane,rank_in_lane,score,headline
Louisville KY Pre-Foreclosure,1,109.5,2616 HALE Ave | sale: 2026-06-26 | days_to_sale: 8
Louisville KY Pre-Foreclosure,2,107.17,2620 W KENTUCKY St | sale: 2026-06-26 | days_to_sale: 8
Louisville KY Pre-Foreclosure,3,90.78,2715 W Kentucky St | sale: 2026-07-17 | days_to_sale: 29
Louisville KY Pre-Foreclosure,4,64.11,2303 W Chestnut St | sale: 2026-07-17 | days_to_sale: 29
Louisville KY Pre-Foreclosure,5,61.0,2615 W Kentucky St | sale: 2026-07-17 | days_to_sale: 29
Louisville KY Pre-Foreclosure,6,61.0,9911 MARY DELL Ln | sale: 2026-07-17 | days_to_sale: 29
Louisville KY Pre-Foreclosure,7,52.28,2725 Greenwood Ave | sale: 2026-06-12 | days_to_sale: -6
Louisville KY Pre-Foreclosure,8,48.44,1011 S 32ND St | sale: 2026-06-12 | days_to_sale: -6
Louisville KY Pre-Foreclosure,9,43.78,1627 HALE Ave | sale: 2026-06-12 | days_to_sale: -6
Louisville KY Pre-Foreclosure,10,36.78,2749 MONTANA Ave | sale: 2026-05-29 | days_to_sale: -20
Louisville KY Pre-Foreclosure,11,35.11,662 S 35th St | sale: 2026-05-29 | days_to_sale: -20
Louisville KY Pre-Foreclosure,12,29.94,1124 S 26th St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,13,29.83,2705 HALE Ave | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,14,29.78,2212 DUMESNIL St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,15,29.56,3217 W Kentucky St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,16,29.56,1547 W ORMSBY Ave | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,17,29.44,2517 W MARKET St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,18,29.39,1436 Hazel St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,19,29.33,3221 GREENWOOD Ave | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,20,29.17,119 N 18TH St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,21,29.17,317 N 18th St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,22,29.17,1411 Berry Blvd | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,23,28.61,1354 S 26TH St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,24,28.61,2017 BANK St | sale:  | days_to_sale: 
Louisville KY Pre-Foreclosure,25,28.56,721 GWENDOLYN St | sale:  | days_to_sale: 
Louisville KY Open Code Violations,1,99.93,"2827 NORTHWESTERN PKY, LOUISVILLE, KY 40212-0000 | 02A | Vacant Lot"
Louisville KY Open Code Violations,2,99.93,"2827 NORTHWESTERN PKY, LOUISVILLE, KY 40212-0000 | X94 | Vacant Lot"
