rank,score,owner_redacted,owner_mail_state,final_order_state,final_citation_amount,date_of_notification,is_out_of_state,lane
1,55.0,C********** P******* B**** M*****,DC,Final By Citation,1500.0,2026-05-21,yes,lien_holder_final_orders
2,44.32,Z****** L**,WY,Final By Citation,966.0,2026-05-19,yes,lien_holder_final_orders
3,43.0,2****** H** I** S*** L**,UT,Final By Hearing,900.0,2026-04-06,yes,lien_holder_final_orders
4,43.0,P********** S***** N,NY,Final By Citation,900.0,2026-05-21,yes,lien_holder_final_orders
5,43.0,G*** L**,CA,Final By Citation,900.0,2026-05-20,yes,lien_holder_final_orders
6,41.0,D****** D******,TN,Final By Citation,800.0,2026-05-20,yes,lien_holder_final_orders
7,41.0,L********* M********** P******* L**,TN,Final By Citation,800.0,2026-05-21,yes,lien_holder_final_orders
8,41.0,C******* L**** A & E*******,NH,Final By Citation,800.0,2026-05-27,yes,lien_holder_final_orders
9,41.0,N******** N****,IN,Final By Citation,800.0,2026-05-27,yes,lien_holder_final_orders
10,41.0,N******** N****,IN,Final By Citation,800.0,2026-05-19,yes,lien_holder_final_orders
11,41.0,N****** C****** I********** L**,FL,Final By Citation,800.0,2026-05-26,yes,lien_holder_final_orders
12,40.0,C******** J*** C,KY,Final By Citation,2000.0,2026-05-18,no,lien_holder_final_orders
13,40.0,E********* J**** J,KY,Final By Citation,2000.0,2026-05-20,no,lien_holder_final_orders
14,40.0,R*** D*** L***** L**,KY,Final By Citation,2000.0,2026-05-19,no,lien_holder_final_orders
15,40.0,R*** D*** L***** L**,KY,Final By Citation,2000.0,2026-05-18,no,lien_holder_final_orders
16,40.0,D****** L**** P & R**** L,KY,Final By Citation,2000.0,2026-05-29,no,lien_holder_final_orders
17,39.0,K** P******* L**,FL,Final By Hearing,700.0,2026-04-10,yes,lien_holder_final_orders
18,39.0,S******** M*** D****,IL,Final By Hearing,700.0,2026-04-13,yes,lien_holder_final_orders
19,39.0,L********* M********** P******* L**,TN,Final By Citation,700.0,2026-05-21,yes,lien_holder_final_orders
20,39.0,L********* M********** P******* L**,TN,Final By Citation,700.0,2026-05-21,yes,lien_holder_final_orders
21,39.0,2****** H** I** S*** L**,UT,Final By Citation,700.0,2026-05-26,yes,lien_holder_final_orders
22,39.0,S***** A**** R*** E***** I**,IN,Final By Citation,700.0,2026-05-21,yes,lien_holder_final_orders
23,37.0,S** A****** G****** L**,NY,Final By Citation,600.0,2026-05-20,yes,lien_holder_final_orders
24,37.0,2****** H** I** S*** L**,UT,Final By Hearing,600.0,2026-03-27,yes,lien_holder_final_orders
25,37.0,S***** J*****,OH,Final By Citation,600.0,2026-05-19,yes,lien_holder_final_orders
